"Time of Event";"Server ID";"Rank";"CPU";;"Latency";"Request Serving Time"
156;1;236.8818706251;31.9839872468;;56.77654;300.929893
156;1;235.8818706251;31.9839872468;;56.77654;307.303813
156;1;235.3818706251;31.9839872468;;56.77654;310.401436
156;1;234.8818706251;31.9839872468;;56.77654;314.394291
156;1;234.3818706251;31.9839872468;;56.77654;318.485113
156;1;233.8818706251;31.9839872468;;56.77654;372.577358
156;1;233.3818706251;31.9839872468;;56.77654;515.528935
156;1;232.8818706251;31.9839872468;;56.77654;590.103281
156;1;231.8818706251;31.9839872468;;56.77654;665.670825
156;1;232.3818706251;31.9839872468;;56.77654;722.853694
159;1;242.3818706251;31.9839872468;;56.77654;10.283269
159;0;242.1866828624;5.0512429828;;10.791298;13.385091
159;0;241.1866828624;5.0512429828;;10.791298;18.118297
159;0;242.6866828624;5.0512429828;;10.791298;12.381629
159;0;241.6866828624;5.0512429828;;10.791298;15.578619
159;0;243.1866828624;5.0512429828;;10.791298;11.372569
159;0;244.1866828624;5.0512429828;;10.791298;8.472746
159;0;243.6866828624;5.0512429828;;10.791298;10.246881
159;1;242.8818706251;31.9839872468;;56.77654;15.64393
159;0;244.6866828624;5.0512429828;;10.791298;8.346321
159;1;241.8818706251;31.9839872468;;56.77654;20.077637
159;0;245.1866828624;5.0512429828;;10.791298;5.845364
159;1;241.3818706251;31.9839872468;;56.77654;27.835223
159;0;247.1866828624;5.0512429828;;10.791298;3.865497
159;0;246.1866828624;5.0512429828;;10.791298;4.379125
159;0;245.6866828624;5.0512429828;;10.791298;5.509944
159;0;246.6866828624;5.0512429828;;10.791298;4.667894
159;0;247.6866828624;5.0512429828;;10.791298;4.060032
159;1;243.3818706251;31.9839872468;;56.77654;23.207915
159;0;248.1866828624;5.0512429828;;10.791298;4.966927
159;0;248.6866828624;5.0512429828;;10.791298;5.192717
159;0;249.1866828624;5.0512429828;;10.791298;4.988853
159;1;243.8818706251;31.9839872468;;56.77654;26.432896
159;0;249.6866828624;5.0512429828;;10.791298;4.717811
159;0;250.1866828624;5.0512429828;;10.791298;4.46263
159;1;244.3818706251;31.9839872468;;56.77654;27.100004
159;1;244.8818706251;31.9839872468;;56.77654;28.491602
159;0;250.6866828624;5.0512429828;;10.791298;4.466828
159;0;251.1866828624;5.0512429828;;10.791298;4.310081
159;1;245.3818706251;31.9839872468;;56.77654;28.938052
159;0;251.6866828624;5.0512429828;;10.791298;4.249902
159;1;246.3818706251;31.9839872468;;56.77654;28.324125
159;0;252.1866828624;5.0512429828;;10.791298;3.888357
159;0;252.6866828624;5.0512429828;;10.791298;3.135877
159;1;246.3818706251;31.9839872468;;56.77654;32.518978
159;0;253.1866828624;5.0512429828;;10.791298;2.797657
159;1;247.3818706251;31.9839872468;;56.77654;36.064918
159;0;253.6866828624;5.0512429828;;10.791298;3.123748
159;0;254.1866828624;5.0512429828;;10.791298;3.383593
159;1;247.8818706251;31.9839872468;;56.77654;38.186603
159;0;254.6866828624;5.0512429828;;10.791298;3.377063
159;1;248.3818706251;31.9839872468;;56.77654;40.752405
159;0;255.1866828624;5.0512429828;;10.791298;3.125614
159;1;248.8818706251;31.9839872468;;56.77654;44.909472
159;0;255.6866828624;5.0512429828;;10.791298;3.280028
159;1;249.3818706251;31.9839872468;;56.77654;46.99337
159;1;249.8818706251;31.9839872468;;56.77654;48.154045
159;1;250.3818706251;31.9839872468;;56.77654;51.727042
159;1;250.8818706251;31.9839872468;;56.77654;51.720044
159;1;251.3818706251;31.9839872468;;56.77654;52.392751
159;1;251.8818706251;31.9839872468;;56.77654;56.093571
159;1;252.3818706251;31.9839872468;;56.77654;55.909766
159;1;252.8818706251;31.9839872468;;56.77654;57.263576
159;1;254.3818706251;31.9839872468;;56.77654;56.018929
159;1;255.3818706251;31.9839872468;;56.77654;53.31364
159;1;253.8818706251;31.9839872468;;56.77654;62.681152
159;1;254.8818706251;31.9839872468;;56.77654;57.553279
159;1;253.3818706251;31.9839872468;;56.77654;341.927216
159;1;246.8818706251;31.9839872468;;56.77654;418.960999
160;0;256.1866828624;5.0512429828;;10.791298;2.872765
160;0;256.6866828624;5.0512429828;;10.791298;3.193258
160;0;257.1866828624;5.0512429828;;10.791298;3.136343
160;0;257.6866828624;5.0512429828;;10.791298;3.024381
160;0;258.1866828624;5.0512429828;;10.791298;3.090625
160;0;258.6866828624;5.0512429828;;10.791298;3.317349
160;0;259.1866828624;5.0512429828;;10.791298;3.669564
160;0;259.6866828624;5.0512429828;;10.791298;3.482027
160;0;260.1866828624;5.0512429828;;10.791298;3.240842
160;0;260.6866828624;5.0512429828;;10.791298;3.155004
160;0;261.1866828624;5.0512429828;;10.791298;3.336476
160;0;261.6866828624;5.0512429828;;10.791298;2.965134
160;1;255.8818706251;31.9839872468;;56.77654;53.415339
160;0;262.1866828624;5.0512429828;;10.791298;2.90029
160;1;256.3818706251;31.9839872468;;56.77654;52.854129
160;1;256.8818706251;31.9839872468;;56.77654;48.699861
160;0;263.1866828624;5.0512429828;;10.791298;2.436579
160;0;262.6866828624;5.0512429828;;10.791298;3.548272
160;1;257.8818706251;31.9839872468;;56.77654;45.867215
160;1;257.3818706251;31.9839872468;;56.77654;50.331245
160;0;263.6866828624;5.0512429828;;10.791298;3.198389
160;0;264.1866828624;5.0512429828;;10.791298;3.244574
160;1;258.8818706251;31.9839872468;;56.77654;41.869229
160;1;258.3818706251;31.9839872468;;56.77654;46.958381
